0,CombatZoneResize,133,251,508,391,TLResume,,,,,,,0.4,Platform,640,296,51,2,150,,,,
0,HeartTeleport,320,376,,,,,,,,,,0.5,Platform,640,346,51,2,150,,,,
0,HeartMode,1,,,,,,,,,,,0.4,BoneV,508,316,70,2,150,,,,
0,TLPause,,,,,,,,,,,,0.4,Platform,640,296,31,2,60,,,,
,,,,,,,,,,,,,0.6,Platform,640,326,51,2,150,,,,
0,PlatformRepeat,640,346,51,2,60,10,160,,,,,0.7,Platform,640,336,51,2,150,,,,
0,BoneVRepeat,657.5,248,83,2,60,20,80,,,,,0.3,BoneV,508,257,45,2,150,,,,
0.48,BoneVRepeat,508,336,50,2,60,20,80,,,,,0.4,Platform,640,316,51,2,150,,,,
0,BoneVRepeat,508,248,50,2,60,20,80,,,,,0.3,BoneV,508,257,55,2,150,,,,
0.5,BoneVRepeat,508,356,30,2,60,20,80,,,,,0.7,BoneV,508,257,35,2,150,,,,
0,BoneVRepeat,508,248,60,2,60,20,80,,,,,1.5,BoneV,133,257,95,0,90,,,,
0.35,BoneVRepeat,508,366,20,2,60,20,80,,,,,0.7,BoneV,508,276,110,2,240,,,,
0,BoneVRepeat,508,248,60,2,60,20,80,,,,,,,,,,,,,,,
27.5,BoneVRepeat,520,248,124,2,400,120,10,,,,,0,PlatformRepeat,640,346,51,2,150,10,600,,
0,bonestab,2,300,0,10,,,,,,,,1,PlatformRepeat,50,346,51,0,150,10,600,,60+N14:V14
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2.5,EndAttack,,,,,,,,,,,,,,,,,,,,,,
