0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,PlatformRepeat,513,346,100,2,200,10,220
0,PlatformRepeat,-71,306,120,0,200,8,280
0,SET,Loop,40,,,,,
0,JMPZ,22,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,3,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,3,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,5,,,,,,
0,BoneVRepeat,517,257,45,2,150,2,10
0.2,JMPABS,8,,,,,,
0,BoneVRepeat,125,306,40,0,200,2,10
0.2,JMPABS,8,,,,,,
0,BoneVRepeat,517,349,35,2,300,2,10
0.2,JMPABS,8,,,,,,
2,EndAttack,,,,,,,
